Comment,Designator,Footprint,LCSC
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
HT7533-1-SOT89,U1,SOT-89-3,C14289
100nF,"C1,C2,C3,C4,C5,C9",C_0402_1005Metric,C1525
10uF,"C7,C8",C_0805_2012Metric,C15850
5.1k,R1,R_0402_1005Metric,C25905
4.7uF,C6,C_1206_3216Metric,C29823
10pF,"C10,C11",C_0402_1005Metric,C32949
LED_GREEN,D1,LED_0603_1608Metric,C72041
STM32F103C8Tx,U2,LQFP-48_7x7mm_P0.5mm,C8734
